sequencia;arquivo;sample_id;identificador_base;augmentation_id;derivacao;formato;largura_px;altura_px;canais;tamanho_bytes;sha256;natureza_dados
15;ecg_015_1006427285-0003_III.png;1006427285-0003;1006427285;3;III;PNG;490;111;srgb;91871;f3ca460080ec7281678a6ac7b26cef69f887f0f81e2adeb7f98cdf80f8566411;Derivado e processado pela fonte
16;ecg_016_1006427285-0003_V1.png;1006427285-0003;1006427285;3;V1;PNG;490;253;srgb;193566;7b270cc4e62089c98d295bdb25e061b0f7aad2c5b1d02484f7ab86ada5886b09;Derivado e processado pela fonte
17;ecg_017_1006427285-0003_V2.png;1006427285-0003;1006427285;3;V2;PNG;490;333;srgb;256344;5d21926da4ba0978b55c888562eaf486d06da19837ded2461ea7db1b9d93912d;Derivado e processado pela fonte
18;ecg_018_1006427285-0003_V3.png;1006427285-0003;1006427285;3;V3;PNG;490;313;srgb;243703;e60c2510a39f13b03ce6181fa68565691cc6a0e4e73bc8934a20e5b5ec9b110d;Derivado e processado pela fonte
19;ecg_019_1006427285-0003_V4.png;1006427285-0003;1006427285;3;V4;PNG;492;183;srgb;143516;e392bc9870f024ce9840820f2a6b4552134be14c5608131ea4b492a237727ce5;Derivado e processado pela fonte
20;ecg_020_1006427285-0003_V5.png;1006427285-0003;1006427285;3;V5;PNG;492;227;srgb;175889;d5239069ea927ff091ac8fa13f2777ec065381b665751c3f8be234627958b4b0;Derivado e processado pela fonte
21;ecg_021_1006427285-0003_V6.png;1006427285-0003;1006427285;3;V6;PNG;492;179;srgb;141167;180e8b7ac00253edd9c844e7c109f66cfdac55165c5748f079431d04c169e2a2;Derivado e processado pela fonte
22;ecg_022_1006427285-0003_aVF.png;1006427285-0003;1006427285;3;aVF;PNG;490;127;srgb;98677;2046c6e62ea2b37e84ba8b975d7141b3388f9eb84cdd9e6ab225a8b4fadc32ea;Derivado e processado pela fonte
23;ecg_023_1006427285-0003_aVL.png;1006427285-0003;1006427285;3;aVL;PNG;490;67;srgb;49827;b139be18d1c370664f2eefe227667f26ccab8cbbe4806a9a582ebff1acf87eea;Derivado e processado pela fonte
24;ecg_024_1006427285-0003_aVR.png;1006427285-0003;1006427285;3;aVR;PNG;490;127;srgb;94992;5522721d65edddb6eca63e3600e053bc613cfc5cb890d58954508a9a6d52f75b;Derivado e processado pela fonte
25;ecg_025_1006427285-0004_I.png;1006427285-0004;1006427285;4;I;PNG;490;119;srgb;129313;3af524b3de654ef0489445d756087c07f9df3ef4ca39d6909350d26cf3768687;Derivado e processado pela fonte
26;ecg_026_1006427285-0004_II.png;1006427285-0004;1006427285;4;II;PNG;1962;157;srgb;679184;796dd64b2b567b7cc2748a9129ad1833fc067797b311616b5ae6cda926aa98d6;Derivado e processado pela fonte
27;ecg_027_1006427285-0004_III.png;1006427285-0004;1006427285;4;III;PNG;490;105;srgb;115068;e1878329b12bc77f5977b314d40c15ec83783cd00d4ebc53abc7a81768f09bd2;Derivado e processado pela fonte
28;ecg_028_1006427285-0004_V1.png;1006427285-0004;1006427285;4;V1;PNG;490;257;srgb;281386;d748773ab6d9690e8dba7fe41a97a106e7d8faf6c6b020dddd9c6545d0221288;Derivado e processado pela fonte
29;ecg_029_1006427285-0004_V2.png;1006427285-0004;1006427285;4;V2;PNG;490;333;srgb;364225;66cfa72de459f7537715042be3722e8283fc9c3d802adbb5d125c13ac7386ee8;Derivado e processado pela fonte
30;ecg_030_1006427285-0004_V3.png;1006427285-0004;1006427285;4;V3;PNG;490;317;srgb;346465;c71e6c2d5a8731b738eeea2b41d1a6d52ca918befc99a7679d3ae85eda3af9cb;Derivado e processado pela fonte
31;ecg_031_1006427285-0004_V4.png;1006427285-0004;1006427285;4;V4;PNG;492;181;srgb;197418;5bf368fbf919883f112d1326c0fb4f2eef286245ee2028d6356ecf794cb9de2f;Derivado e processado pela fonte
32;ecg_032_1006427285-0004_V5.png;1006427285-0004;1006427285;4;V5;PNG;492;227;srgb;245567;3e9696ddd9917f9e1154bb580482824c6fdfb1fa73378bc36e31fa351ecb1558;Derivado e processado pela fonte
33;ecg_033_1006427285-0004_V6.png;1006427285-0004;1006427285;4;V6;PNG;492;177;srgb;191032;9c4b2972492bb036c3d68b599df5edaef53b2bc3e035c5737fac3d3e10dc6466;Derivado e processado pela fonte
34;ecg_034_1006427285-0004_aVF.png;1006427285-0004;1006427285;4;aVF;PNG;490;125;srgb;135758;e70c05d75706d56397cc79e831603581233adff81a9c9fba17f02449bb8db350;Derivado e processado pela fonte
35;ecg_035_1006427285-0004_aVL.png;1006427285-0004;1006427285;4;aVL;PNG;490;67;srgb;71220;6ecebd1314cba83ef50f0b81f80fc1bb9c97b27b524c2944112430d8b65d5f91;Derivado e processado pela fonte
36;ecg_036_1006427285-0004_aVR.png;1006427285-0004;1006427285;4;aVR;PNG;490;127;srgb;136863;c2270a7afb789db3e599b1fc51428b442525a187bb989c82fccffcbd7021277b;Derivado e processado pela fonte
37;ecg_037_1006427285-0005_I.png;1006427285-0005;1006427285;5;I;PNG;490;119;srgb;103682;d46060ebdb9d944428853675f1218002641991d12e19f0aac579239c942a53c6;Derivado e processado pela fonte
38;ecg_038_1006427285-0005_II.png;1006427285-0005;1006427285;5;II;PNG;1962;153;srgb;512300;dd413529dd67b861f80d4f8872622cc210996c711b22ebd3babb67e30e447425;Derivado e processado pela fonte
39;ecg_039_1006427285-0005_III.png;1006427285-0005;1006427285;5;III;PNG;490;107;srgb;93692;bca0296cdbf654627a08472354350a65cfbd2561ce8bfc1018e44cacba4e8265;Derivado e processado pela fonte
40;ecg_040_1006427285-0005_V1.png;1006427285-0005;1006427285;5;V1;PNG;490;253;srgb;217047;c8bacaf5a158c5e535803aa7c23361b879455e6fa33174c720428814a31aff03;Derivado e processado pela fonte
41;ecg_041_1006427285-0005_V2.png;1006427285-0005;1006427285;5;V2;PNG;490;333;srgb;284745;f52092949159cd015c47f1e76a7d07fa4e96e3c9a4db588700ff735ddf18f2ac;Derivado e processado pela fonte
42;ecg_042_1006427285-0005_V3.png;1006427285-0005;1006427285;5;V3;PNG;490;313;srgb;265333;6f7a3ac5087377d11e2afeda9919d404e4366e5d45b30d9c6a22701d9980e0be;Derivado e processado pela fonte
43;ecg_043_1006427285-0005_V4.png;1006427285-0005;1006427285;5;V4;PNG;492;183;srgb;152598;5b3a69f7f6e38b175c5a2e77dfcaed8e0499613b59ae9a9c59342299381e878f;Derivado e processado pela fonte
44;ecg_044_1006427285-0005_V5.png;1006427285-0005;1006427285;5;V5;PNG;492;225;srgb;187176;7de6d3b6ce2cef1a058216bc688f0c799ab96381c0d10ebe94b0d3bca1f33a2b;Derivado e processado pela fonte
45;ecg_045_1006427285-0005_V6.png;1006427285-0005;1006427285;5;V6;PNG;492;181;srgb;150176;56325b4ca59a0735057b2bf234f8e8c6e6b92508e9201bfa9c75b60ce4e22041;Derivado e processado pela fonte
46;ecg_046_1006427285-0005_aVF.png;1006427285-0005;1006427285;5;aVF;PNG;490;127;srgb;108005;52a852e7f343367a24c3540647c913100b1e77eef91298c1bf4a07a19288ed03;Derivado e processado pela fonte
47;ecg_047_1006427285-0005_aVL.png;1006427285-0005;1006427285;5;aVL;PNG;490;67;srgb;60155;eb5bab3ac0a5c6df2094a60d5f8fa78cea02acca9ab725d757737bf2337c2c3e;Derivado e processado pela fonte
48;ecg_048_1006427285-0005_aVR.png;1006427285-0005;1006427285;5;aVR;PNG;490;123;srgb;109088;f0d5b9917224ad8824fff766e50963ae20a8409b71ccd8d687d496e60c3f70f2;Derivado e processado pela fonte
49;ecg_049_1006427285-0006_I.png;1006427285-0006;1006427285;6;I;PNG;490;115;srgb;130113;2a480cae97dc448a5d37fc46b9cf9999e61655a43ad746c1c28642e1873535ca;Derivado e processado pela fonte
50;ecg_050_1006427285-0006_II.png;1006427285-0006;1006427285;6;II;PNG;1962;157;srgb;684442;545eb3e56df5730139957857ccd2f754883b907bad6bd4c97681b4f13af7f656;Derivado e processado pela fonte
51;ecg_051_1006427285-0006_III.png;1006427285-0006;1006427285;6;III;PNG;490;105;srgb;119904;c142b874f0d27afada85c6e65c9b544fc35ca6d3a525039c45157199e839f504;Derivado e processado pela fonte
52;ecg_052_1006427285-0006_V1.png;1006427285-0006;1006427285;6;V1;PNG;490;251;srgb;281560;a98d7569f8934c1764f58eba90c6e5cf77cde2a2a793d1a4098354242670885f;Derivado e processado pela fonte
53;ecg_053_1006427285-0006_V2.png;1006427285-0006;1006427285;6;V2;PNG;490;331;srgb;371838;bbb64cf1212080077985c97c21804792b4f84b14a1001aedb8e7f0cfbfe02f92;Derivado e processado pela fonte
54;ecg_054_1006427285-0006_V3.png;1006427285-0006;1006427285;6;V3;PNG;490;321;srgb;359994;d320e6794e49360f664f5c2af778f9b0c5bd7fba2ea8618a675d5dd5f3f7d35c;Derivado e processado pela fonte
55;ecg_055_1006427285-0006_V4.png;1006427285-0006;1006427285;6;V4;PNG;492;183;srgb;166118;47284940075262acd5c4bbe3749386fb9849e1f00cbf674a0ccfbbf1f2c2198e;Derivado e processado pela fonte
56;ecg_056_1006427285-0006_V5.png;1006427285-0006;1006427285;6;V5;PNG;492;223;srgb;189397;3ce8d334a022a3f02365d122483efec9333cbb378c9c564b5e64fe84e41ffdb7;Derivado e processado pela fonte
57;ecg_057_1006427285-0006_V6.png;1006427285-0006;1006427285;6;V6;PNG;492;179;srgb;151190;f1a6971d035345920f79808171fdae558efb98f97c3c24a8feed5e339b6590f5;Derivado e processado pela fonte
58;ecg_058_1006427285-0006_aVF.png;1006427285-0006;1006427285;6;aVF;PNG;490;123;srgb;147652;69193193554a5a021560864d80ce6263dcc49d200da2b4dde0316d6e2884bbbd;Derivado e processado pela fonte
59;ecg_059_1006427285-0006_aVL.png;1006427285-0006;1006427285;6;aVL;PNG;490;67;srgb;79973;d05d45f102c72f2dbc3bfcf713ba7cd4243eb8a8b7a117deffb62de007148d67;Derivado e processado pela fonte
60;ecg_060_1006427285-0006_aVR.png;1006427285-0006;1006427285;6;aVR;PNG;490;129;srgb;155369;f3421b42de1cc4a08b80ff2a3d989233fd95708c55984a46869315b57c4d6fd6;Derivado e processado pela fonte
61;ecg_061_1006427285-0009_I.png;1006427285-0009;1006427285;9;I;PNG;490;117;srgb;99435;7cf2c5e31cfcb81b800590761a774342aab2fbcf9ff87f0559d6d4babe712e44;Derivado e processado pela fonte
62;ecg_062_1006427285-0009_II.png;1006427285-0009;1006427285;9;II;PNG;1962;155;srgb;475320;11f025f529a89b436283c736c7659317ddf9e47033014b3940912a4646f934fd;Derivado e processado pela fonte
63;ecg_063_1006427285-0009_III.png;1006427285-0009;1006427285;9;III;PNG;490;109;srgb;96199;aabed29ab2213aa6b48ca18b75916cd2443232775aeef80dc8a695a638e6068d;Derivado e processado pela fonte
64;ecg_064_1006427285-0009_V1.png;1006427285-0009;1006427285;9;V1;PNG;490;249;srgb;234600;46923121bcd03d446d72ab79218447e59c06905ab6104490ae48df48b00c9ed6;Derivado e processado pela fonte
65;ecg_065_1006427285-0009_V2.png;1006427285-0009;1006427285;9;V2;PNG;490;333;srgb;316784;bbe1e9b1349eca70103d4d389904693864f665affb46d36fdc7207c8f05639e7;Derivado e processado pela fonte
66;ecg_066_1006427285-0009_V3.png;1006427285-0009;1006427285;9;V3;PNG;490;315;srgb;293078;882a53d6c337bb5228055e2f3b5350b351d92c334d35466cdcbafcb2155b5ee8;Derivado e processado pela fonte
67;ecg_067_1006427285-0009_V4.png;1006427285-0009;1006427285;9;V4;PNG;492;187;srgb;174346;291df3c04179fe748d7969b795f75bc59eb0f515cc49bc3c46dd1cf7b6a95bfd;Derivado e processado pela fonte
68;ecg_068_1006427285-0009_V5.png;1006427285-0009;1006427285;9;V5;PNG;492;227;srgb;213433;c409f5efafd28131cce19a8db6bfacfdf9d6f09d3185232773910a7f913eabea;Derivado e processado pela fonte
69;ecg_069_1006427285-0009_V6.png;1006427285-0009;1006427285;9;V6;PNG;492;177;srgb;143441;c90c0c2ad3c54b787c596fcc717ccda5bf0c4280d62268da278972209afbee4f;Derivado e processado pela fonte
70;ecg_070_1006427285-0009_aVF.png;1006427285-0009;1006427285;9;aVF;PNG;490;123;srgb;115092;0eff4ba468ea64171c232370bd9f4d95afa4a297cf3c811ca9876ab9cdd7a6e4;Derivado e processado pela fonte
71;ecg_071_1006427285-0009_aVL.png;1006427285-0009;1006427285;9;aVL;PNG;490;67;srgb;64481;c814efe6437fafacc479f727ddb44091f581ccd70e80f1ca3f2048476fd214ea;Derivado e processado pela fonte
72;ecg_072_1006427285-0009_aVR.png;1006427285-0009;1006427285;9;aVR;PNG;490;123;srgb;119525;774d35a91aabccb79d0f3e1c7cd35e631b90ea16efbf3d956113210a95a055c6;Derivado e processado pela fonte
73;ecg_073_1006427285-0010_I.png;1006427285-0010;1006427285;10;I;PNG;490;121;srgb;113504;69549dbb26fb197a14a048db9214d16df1e1789c612f73446517b6a16372cc75;Derivado e processado pela fonte
74;ecg_074_1006427285-0010_II.png;1006427285-0010;1006427285;10;II;PNG;1962;157;srgb;569687;dcb964f8bd51cd47e465787dc7fafb1033829b9acd08161a8d62e3e1e1146073;Derivado e processado pela fonte
75;ecg_075_1006427285-0010_III.png;1006427285-0010;1006427285;10;III;PNG;490;105;srgb;98084;c11455cf08277be5739de4b63f4659f85c99170897ebba3b91d75e5a4d6427cd;Derivado e processado pela fonte
76;ecg_076_1006427285-0010_V1.png;1006427285-0010;1006427285;10;V1;PNG;490;251;srgb;238648;d5842760970e98e7d083581080ad5304f57abd1672109f0ba93a536d1633042a;Derivado e processado pela fonte
77;ecg_077_1006427285-0010_V2.png;1006427285-0010;1006427285;10;V2;PNG;490;331;srgb;310960;6b0d8e4ce8bf8c9c0593cf5541e24873c4b732a359dd4c698a816a02be927841;Derivado e processado pela fonte
78;ecg_078_1006427285-0010_V3.png;1006427285-0010;1006427285;10;V3;PNG;490;315;srgb;292355;d884604f40763e31493c18889317ecdb64124575823b3e4a0a053b8809ddc47c;Derivado e processado pela fonte
79;ecg_079_1006427285-0010_V4.png;1006427285-0010;1006427285;10;V4;PNG;492;179;srgb;156585;ba7b6270c9c95b5fe9dbed756972e73fcc3f44cd8170f693e842ee1584bdf8a7;Derivado e processado pela fonte
80;ecg_080_1006427285-0010_V5.png;1006427285-0010;1006427285;10;V5;PNG;492;227;srgb;204992;585e449890200cbd4908427cd2883128451977c1747ba62bd84165427127656e;Derivado e processado pela fonte
81;ecg_081_1006427285-0010_V6.png;1006427285-0010;1006427285;10;V6;PNG;492;179;srgb;162615;adb0358f3d116f401b9e23dd6e1464bf57d2f6f6f46e2e6fd0612cc848c5bfef;Derivado e processado pela fonte
82;ecg_082_1006427285-0010_aVF.png;1006427285-0010;1006427285;10;aVF;PNG;490;125;srgb;117550;c368353bbe23380487150153bbbf43fbae53ab05bdde2a4fd5a8249e4e5a7716;Derivado e processado pela fonte
83;ecg_083_1006427285-0010_aVL.png;1006427285-0010;1006427285;10;aVL;PNG;490;67;srgb;63792;8625bbd19f721cee4767ff3f44e4f77104a30b35c365b88597b273fa0e10482c;Derivado e processado pela fonte
84;ecg_084_1006427285-0010_aVR.png;1006427285-0010;1006427285;10;aVR;PNG;490;127;srgb;120665;c97b0e3a4c5f641b3253518ef37b6d96e2b65d3e07a8a263e23c1e1b69518e17;Derivado e processado pela fonte
85;ecg_085_1006427285-0011_I.png;1006427285-0011;1006427285;11;I;PNG;490;119;srgb;94283;96f9f19cb0116401e5369f6931c3328d3b49dc6a170f6caa61f846d354c2ca6f;Derivado e processado pela fonte
86;ecg_086_1006427285-0011_II.png;1006427285-0011;1006427285;11;II;PNG;1962;157;srgb;495870;4bed1e6ecc0cd689994f6c4b740ba90fbd2159db73b54f16a633e0f7cbd8b3f5;Derivado e processado pela fonte
87;ecg_087_1006427285-0011_III.png;1006427285-0011;1006427285;11;III;PNG;490;107;srgb;88918;5556d97ffecfcccc15c9edba745bba7559f2b1ecd6b2e682f6000b29de217508;Derivado e processado pela fonte
88;ecg_088_1006427285-0011_V1.png;1006427285-0011;1006427285;11;V1;PNG;490;255;srgb;205052;dc064e8c72852ad3e7c11b97b5486e22854ec92f5330c388d9f26d86589536e2;Derivado e processado pela fonte
89;ecg_089_1006427285-0011_V2.png;1006427285-0011;1006427285;11;V2;PNG;490;331;srgb;264956;e8edfd07ff2a917b9252899e5c6db1f1fff3d978c3986ac8755027f4af71f7ef;Derivado e processado pela fonte
90;ecg_090_1006427285-0011_V3.png;1006427285-0011;1006427285;11;V3;PNG;490;313;srgb;251798;0837c2f6643a0cf369ee30ed4e4b0da98f11b2e161e812d3bb36c8591fa6caab;Derivado e processado pela fonte
91;ecg_091_1006427285-0011_V4.png;1006427285-0011;1006427285;11;V4;PNG;492;173;srgb;138409;698f3486e9a7e194a42437b9034d57d9c1fcc2568b47bba1d2c8a824dcd7d304;Derivado e processado pela fonte
92;ecg_092_1006427285-0011_V5.png;1006427285-0011;1006427285;11;V5;PNG;492;227;srgb;178268;08d3594d0a42ad33e840f8d598a8e8ffd4795c7e95111ce7015949d6d7536b21;Derivado e processado pela fonte
93;ecg_093_1006427285-0011_V6.png;1006427285-0011;1006427285;11;V6;PNG;492;177;srgb;140659;69c7dec942a5e652aa6cd2347d80e4c3667098ca5d67b0eb3be1f9df2a3d4953;Derivado e processado pela fonte
94;ecg_094_1006427285-0011_aVF.png;1006427285-0011;1006427285;11;aVF;PNG;490;127;srgb;101435;7f02dca7680c05070b00654ee268d483bd48858eb583f022cde9b8e27e29f28a;Derivado e processado pela fonte
95;ecg_095_1006427285-0011_aVL.png;1006427285-0011;1006427285;11;aVL;PNG;490;67;srgb;53067;10e7b979b5e4b04d8b49ec184e727ac422e038bb82fe43bc00511e8de276f3fa;Derivado e processado pela fonte
96;ecg_096_1006427285-0011_aVR.png;1006427285-0011;1006427285;11;aVR;PNG;490;127;srgb;100770;78623502ce37118c7f35c921202cea320486e95eeb7bad442c1d0d533caaef4f;Derivado e processado pela fonte
97;ecg_097_1006427285-0012_I.png;1006427285-0012;1006427285;12;I;PNG;490;117;srgb;130344;b1438744ea6cc9d1390ae107ecb1e16fff668c84e151422c6dba1d3ea9e30d37;Derivado e processado pela fonte
98;ecg_098_1006427285-0012_II.png;1006427285-0012;1006427285;12;II;PNG;1962;157;srgb;697708;a14f1527c2dff52b0540a56b6ea043f14cee2c6b329d0ecd2ac3766a5ea1b36a;Derivado e processado pela fonte
99;ecg_099_1006427285-0012_III.png;1006427285-0012;1006427285;12;III;PNG;490;109;srgb;122977;b3dd9501f0c0e4a18b2a8b5a54aa1781661010d0911945f526e1d45a34b99293;Derivado e processado pela fonte
100;ecg_100_1006427285-0012_V1.png;1006427285-0012;1006427285;12;V1;PNG;490;255;srgb;288466;911041b14087af46b28619c8383ec866c679f69e6d1e46c935dfe9741abb0295;Derivado e processado pela fonte
101;ecg_101_1006427285-0012_V2.png;1006427285-0012;1006427285;12;V2;PNG;490;333;srgb;373938;a3da6dc6801065a448644977a3d859cdbe8fd4983264dba2439e4021de8f9173;Derivado e processado pela fonte
102;ecg_102_1006427285-0012_V3.png;1006427285-0012;1006427285;12;V3;PNG;490;323;srgb;363246;010c533bc3bbf62093bd628242f466f0fcdd49391516641a6924126f350df453;Derivado e processado pela fonte
103;ecg_103_1006427285-0012_V4.png;1006427285-0012;1006427285;12;V4;PNG;492;179;srgb;199804;3a42a2e31e9d1520304f96ee2b7526ae2cd57c4f59e52ae7c433525da35030c9;Derivado e processado pela fonte
104;ecg_104_1006427285-0012_V5.png;1006427285-0012;1006427285;12;V5;PNG;492;227;srgb;252385;a20c2aca34e065952440557883704d01c1bf3e010884c806d88d39ee8ee09aa4;Derivado e processado pela fonte
105;ecg_105_1006427285-0012_V6.png;1006427285-0012;1006427285;12;V6;PNG;492;179;srgb;199164;7c29abfa25a2a7cef59734d388ac7138f9a9b9ad42b9ffc5e1ffe6707b2505f6;Derivado e processado pela fonte
106;ecg_106_1006427285-0012_aVF.png;1006427285-0012;1006427285;12;aVF;PNG;490;125;srgb;140203;efbd9540bb529f17a285c12d28b8e8d8204a1f9de0e2cda1ac4f447606591fe2;Derivado e processado pela fonte
107;ecg_107_1006427285-0012_aVL.png;1006427285-0012;1006427285;12;aVL;PNG;490;69;srgb;76220;9554c2021cf6c86020c22e9e8b4a76aaea672d62e68491f3a334f337c68e4041;Derivado e processado pela fonte
108;ecg_108_1006427285-0012_aVR.png;1006427285-0012;1006427285;12;aVR;PNG;490;125;srgb;138205;ab9a082ade9b39408e85a1c4cb52ee6717c914d2b58b3dc2786590a240547c0c;Derivado e processado pela fonte
